,permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
346,1144367,ELEPHANT & CASTLE PUB & RESTAURANT,02/27/2020,05/31/2021,111 W ADAMS ST,41.879301285,-87.63116779299999
347,1144368,URBANBELLY WICKER PARK,02/28/2020,05/31/2021,1542 N DAMEN AVE,41.909426744,-87.677583284
348,1144369,Qdoba Mexican Eats #2154,04/24/2020,05/31/2021,175 W JACKSON BLVD,41.878014487,-87.63318903
349,1144370,STARBUCKS COFFEE,02/28/2020,05/31/2021,600 N STATE ST,41.892501167,-87.628242738
350,1144371,STARBUCKS COFFEE #2510,02/28/2020,05/31/2021,414 N ORLEANS ST,41.889682961,-87.637120956
351,1144372,STARBUCKS COFFEE #2545,04/10/2020,05/31/2021,25 E WASHINGTON ST,41.883109079,-87.626976034
352,1144373,STARBUCKS COFFEE #2877,04/10/2020,05/31/2021,40 N CLINTON ST,41.883108072,-87.641377478
353,1144374,STARBUCKS COFFEE #2484,04/10/2020,05/31/2021,111 E CHESTNUT ST,41.898261619,-87.62516469200001
354,1144375,STARBUCKS COFFEE 18013,04/10/2020,05/31/2021,171 W RANDOLPH ST,41.884361876999996,-87.63316453799999
355,1144376,STARBUCKS COFFEE #15683,02/28/2020,05/31/2021,8 N MICHIGAN AVE,41.882288177,-87.624517791
356,1144377,STARBUCKS COFFEE #13710,04/10/2020,05/31/2021,30 W ERIE ST,41.894165414,-87.62938902799999
357,1144378,STARBUCKS COFFEE #2234,04/10/2020,05/31/2021,200 W ADAMS ST,41.879495471999995,-87.63382966100001
358,1144379,STARBUCKS COFFEE #2224,04/10/2020,05/31/2021,430 N CLARK ST,41.890058266,-87.631229887
359,1144380,STARBUCKS COFFEE #225,04/10/2020,05/31/2021,40 W LAKE ST,41.885855996,-87.629421739
360,1144381,STARBUCKS COFFEE #10594,04/10/2020,05/31/2021,39 S LA SALLE ST,41.880931558,-87.632189133
361,1144382,STARBUCKS COFFEE #10199,04/10/2020,05/31/2021,131 S DEARBORN ST,41.87988544,-87.629211595
362,1144383,STARBUCKS COFFEE #16309,02/28/2020,05/31/2021,200 S MICHIGAN AVE,41.879489329,-87.624498125
363,1144384,STARBUCKS COFFEE #216,02/28/2020,05/31/2021,401 E ONTARIO ST,41.893341295999996,-87.617589151
364,1144385,STARBUCKS COFFEE #28867,04/10/2020,05/31/2021,333 N MICHIGAN AVE,41.887542941,-87.62440700200001
365,1144386,DUNKIN DONUTS,03/16/2020,05/31/2021,93 N CANAL ST,41.883126523,-87.63958775100001
366,1144387,DUNKIN DONUTS,07/16/2020,05/31/2021,205 W WACKER DR,41.886707304,-87.634150393
367,1144388,BASKIN ROBBINS,03/16/2020,05/31/2021,31 E ADAMS ST,41.87939908,-87.626559106
368,1144389,DUNKIN DONUTS,03/16/2020,05/31/2021,39 W JACKSON BLVD,41.878057651999995,-87.629268945
369,1144390,DUNKIN DONUTS,03/16/2020,05/31/2021,117 S CLINTON ST,41.880023521999995,-87.640988575
370,1144391,DUNKIN DONUTS,03/16/2020,05/31/2021,1015 W LAKE ST,41.885462128,-87.652806814
371,1144392,DUNKIN DONUTS,03/16/2020,05/31/2021,27 E LAKE ST,41.885642588,-87.626930025
372,1144393,HOT WOKS COOL SUSHI,03/12/2020,05/31/2021,30 S MICHIGAN AVE,41.881371062,-87.62449175200001
373,1144394,HOT WOKS COOL SUSHI,03/12/2020,05/31/2021,2032 W ROSCOE ST,41.943312712,-87.679721969
374,1144395,BUFFALO WINGS AND RINGS,05/19/2020,05/31/2021,3434 S HALSTED ST,41.831724396,-87.646276392
375,1144396,CASA MARGARITA,03/13/2020,05/31/2021,505 N LAKE SHORE DR,41.891279293000004,-87.614107533
376,1144397,CAFFECAFE,02/28/2020,05/31/2021,1 E WACKER DR,41.886707555,-87.62788347799999
377,1144398,BLACK AND CASPIEN WINE BISTRO,05/13/2020,05/31/2021,2908 N BROADWAY,41.935164878,-87.64438454
378,1144399,"GODDESS AND THE BAKER GRAND, LLC",05/20/2020,05/31/2021,44 E GRAND AVE,41.891800155,-87.626331866
