,PERMIT NUMBER,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,LOCATION
436,1144528,WASABI / NOMONOMO-JAPANESE PUB + GRILL,06/17/2020,05/31/2021,2101 N MILWAUKEE AVE,CHICAGO,,60647.0,41.919521614000004,-87.691587162,"(41.91952161427481, -87.6915871617949)"
437,1144532,POTBELLY SANDWICH WORKS LLC,11/04/2020,05/31/2021,3424 N SOUTHPORT AVE,CHICAGO,IL,60657.0,41.944166482,-87.66408481200001,"(41.9441664817515, -87.66408481161899)"
438,1144534,"EL MERCADO FOOD MART, LLC",07/08/2020,05/31/2021,3767 N SOUTHPORT AVE,CHICAGO,IL,60613.0,41.95096537,-87.663978055,"(41.95096536985835, -87.66397805470072)"
439,1144535,POTBELLY SANDWICH WORKS,11/04/2020,05/31/2021,5304 N CLARK ST,CHICAGO,IL,60640.0,41.978205263,-87.66849069,"(41.97820526310159, -87.66849069015261)"
440,1144536,BODEGA SUR,05/29/2020,05/31/2021,3755 N SOUTHPORT AVE,CHICAGO,IL,60613.0,41.950458473000005,-87.663964159,"(41.95045847281244, -87.66396415892734)"
441,1144538,TANGO SUR,07/08/2020,05/31/2021,3761-3763 N SOUTHPORT AVE,CHICAGO,IL,60613.0,41.950622482,-87.663968655,"(41.95062248171648, -87.66396865506773)"
442,1144539,"GEO.  NOTTOLI & SON, INC.",06/11/2020,05/31/2021,7652 W BELMONT AVE,CHICAGO,IL,60634.0,41.938004783000004,-87.818654225,"(41.938004782699636, -87.81865422492125)"
443,1144540,D'AGOSTINOS PIZZA,06/11/2020,05/31/2021,1351 W ADDISON ST,CHICAGO,IL,60613.0,41.946964202,-87.6636616,"(41.94696420186995, -87.6636616004036)"
444,1144541,THE COFFEE STUDIO,07/16/2020,05/31/2021,5628 N CLARK ST,CHICAGO,IL,60660.0,41.984384825,-87.669099314,"(41.984384824892075, -87.66909931387195)"
445,1144542,MUSIC BOX THEATRE,07/22/2020,05/31/2021,3733-3735 N SOUTHPORT AVE,CHICAGO,IL,60613.0,41.949857259,-87.66394689100001,"(41.9498572587634, -87.66394689129923)"
